12/01/2018 03:42,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Classe Mercadoria Perigosa
436,"FOGUETES COM CARGA DE EXPULSÃO  REF.:0437, 0438",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
442,"CARGAS EXPLOSIVAS INDUSTRIAIS SEM DETONADOR  REF.: 0443,0444, 0445",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
446,CAIXAS DE CARTUCHOS COMBUSTÍVEIS VAZIAS E NÃOINICIADORAS  REF.: 0447,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
448,ÁCIDO MERCAPTO-5 TETRAZOL-1 ACÉTICO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
449,TORPEDOS A COMBUSTÍVEL LÍQUIDO COM OU SEM CARGA DEREBENTAMENTO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
450,TORPEDOS A COMBUSTÍVEL LÍQUIDO COM OGIVA INERTE,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
457,"CARGAS DE REBENTAMENTO DE LIGANTE PLÁSTICO  REF.: 0458, 0459, 0460",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
462,"OBJECTOS EXPLOSIVOS N.S.A. REF.: 0463, 0464, 0465, 0466, 0467, 0468, 0469, 0470, 0471, 0472, 0349, 0350, ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
482,"MATÉRIAS EXPLOSIVAS MUITO POUCO SENSÍVEIS (MATÉRIASEMPS), N.S.A.",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
483,"CICLOTRIMETILENOTRINITRAMINA (CICLONITE,HEXOGÉNIO, RDX) DESSENSIBILIZADA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
484,"CICLOTETRAMETILENOTETRANITRAMINA (OCTOGÉNIO,HMX) DESSENSIBILIZADA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
486,"OBJECTOS EXPLOSIVOS, EXTREMAMENTE POUCO SENSÍVEIS(OBJECTOS EEPS)",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
489,DINITROGLICOLURILO (DINGU),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
490,OXINITROTRIAZOL (ONTA),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
495,"PROPERGOL, LÍQUIDO REF.: 0497",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
496,OCTONAL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
498,"PROPERGOL, SÓLIDO REF.: 0499, 0501",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
503,DISPOSITIVOS DE INSUFLAGEM DE SACOS INSUFLÁVEIS(AIRBAGS) OU MÓDULOS DE SACOS INSUFLÁVEIS (AIRBAGS) ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
504,1H-TETRAZOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
508,1-HIDROXIBENZOTRIAZOL ANIDRO SECO OU HUMEDECIDO COMMENOS DE 20% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
1001,ACETILENO DISSOLVIDO,2014-09-01,-,2 - GASES
1002,AR COMPRIMIDO,2014-09-01,-,2 - GASES
1003,AR LÍQUIDO REFRIGERADO,2014-09-01,-,2 - GASES
1005,AMONÍACO ANIDRO,2014-09-01,-,2 - GASES
1006,ÁRGON COMPRIMIDO,2014-09-01,-,2 - GASES
1008,TRIFLUORETO DE BORO,2014-09-01,-,2 - GASES
1009,BROMOTRIFLUORMETANO (GÁS REFRIGERANTE R13B1),2014-09-01,-,2 - GASES
1010,"BUTADIENOS ESTABILIZADOS OU BUTADIENOS EHIDROCARBONETOS EM MISTURA ESTABILIZADA, QUE, A 70 °C,",2014-09-01,-,2 - GASES
1011,BUTANO,2014-09-01,-,2 - GASES
1012,BUTILENOS EM MISTURA OU BUTILENO-1 OU CIS-BUTILENO-2 OUTRANS-BUTILENO-2,2014-09-01,-,2 - GASES
1013,DIÓXIDO DE CARBONO,2014-09-01,-,2 - GASES
1016,MONÓXIDO DE CARBONO COMPRIMIDO,2014-09-01,-,2 - GASES
1017,CLORO,2014-09-01,-,2 - GASES
1018,CLORODIFLUORMETANO (GÁS REFRIGERANTE R 22),2014-09-01,-,2 - GASES
1020,CLOROPENTAFLUORETANO (GÁS REFRIGERANTE R 115),2014-09-01,-,2 - GASES
1021,"CLORO-1 TETRAFLUOR-1,2,2,2 ETANO (GÁS REFRIGERANTE R124)",2014-09-01,-,2 - GASES
1022,CLOROTRIFLUORMETANO (GÁS REFRIGERANTE R 13),2014-09-01,-,2 - GASES
1023,GÁS DE HULHA COMPRIMIDO,2014-09-01,-,2 - GASES
1026,CIANOGÉNIO,2014-09-01,-,2 - GASES
1027,CICLOPROPANO,2014-09-01,-,2 - GASES
1028,DICLORODIFLUORMETANO (GÁS REFRIGERANTE R 12),2014-09-01,-,2 - GASES
1029,DICLOROFLUORMETANO (GÁS REFRIGERANTE R 21),2014-09-01,-,2 - GASES
1030,"DIFLUOR-1,1 ETANO (GÁS REFRIGERANTE R 152A)",2014-09-01,-,2 - GASES
1032,DIMETILAMINA ANIDRA,2014-09-01,-,2 - GASES
1033,ÉTER METÍLICO,2014-09-01,-,2 - GASES
1035,ETANO,2014-09-01,-,2 - GASES
1036,ETILAMINA,2014-09-01,-,2 - GASES
1037,CLORETO DE ETILO,2014-09-01,-,2 - GASES
1038,ETILENO LÍQUIDO REFRIGERADO,2014-09-01,-,2 - GASES
1039,ÉTER METILETÍLICO,2014-09-01,-,2 - GASES
1040,ÓXIDO DE ETILENO,2014-09-01,-,2 - GASES
1041,"ÓXIDO DE ETILENO E DIÓXIDO DE CARBONO EM MISTURA,CONTENDO MAIS DE 9% MAS NÃO MAIS DE 87% DE ",2014-09-01,-,2 - GASES
1043,ADUBOS EM SOLUÇÃO CONTENDO AMONÍACO NÃO COMBINADO,2014-09-01,-,2 - GASES
1044,EXTINTORES CONTENDO UM GÁS COMPRIMIDO OU LIQUEFEITO,2014-09-01,-,2 - GASES
1045,FLÚOR COMPRIMIDO,2014-09-01,-,2 - GASES
1046,HÉLIO COMPRIMIDO,2014-09-01,-,2 - GASES
1048,BROMETO DE HIDROGÉNIO ANIDRO,2014-09-01,-,2 - GASES
1049,HIDROGÉNIO COMPRIMIDO,2014-09-01,-,2 - GASES
1050,CLORETO DE HIDROGÉNIO ANIDRO,2014-09-01,-,2 - GASES
1051,"CIANETO DE HIDROGÉNIO ESTABILIZADO, COM MENOS DE 3% DEÁGUA",2014-09-01,-,61 - MATÉRIAS TÓXICAS
1052,FLUORETO DE HIDROGÉNIO ANIDRO,2014-09-01,-,8 - MATÉRIAS CORROSIVAS
1053,SULFURETO DE HIDROGÉNIO,2014-09-01,-,2 - GASES
1055,ISOBUTILENO,2014-09-01,-,2 - GASES
1056,CRÍPTON COMPRIMIDO,2014-09-01,-,2 - GASES
1057,ISQUEIROS OU RECARGAS PARA ISQUEIROS (PARA CIGARROS)CONTENDO UM GÁS INFLAMÁVEL,2014-09-01,-,2 - GASES
1058,"GASES LIQUEFEITOS NÃO INFLAMÁVEIS, ADICIONADOS COM AZOTO, DIÓXIDODE CARBONO OU AR",2014-09-01,-,2 - GASES
1060,METILACETILENO E PROPADIENO EM MISTURAESTABILIZADA COMO A MISTURA P1 OU A MISTURA P2,2014-09-01,-,2 - GASES
1061,METILAMINA ANIDRA,2014-09-01,-,2 - GASES
1062,BROMETO DE METILO CONTENDO NO MÁXIMO 2% DE CLOROPICRINA,2014-09-01,-,2 - GASES
1063,CLORETO DE METILO (GÁS REFRIGERANTE R 40),2014-09-01,-,2 - GASES
1064,MERCAPTANO METÍLICO,2014-09-01,-,2 - GASES
1065,NÉON COMPRIMIDO,2014-09-01,-,2 - GASES
1066,AZOTO COMPRIMIDO,2014-09-01,-,2 - GASES
1067,TETRÓXIDO DE DIAZOTO (DIÓXIDO DE AZOTO),2014-09-01,-,2 - GASES
1069,CLORETO DE NITROSILO,2014-09-01,-,2 - GASES
1070,PROTÓXIDO DE AZOTO,2014-09-01,-,2 - GASES
1071,GÁS DE PETRÓLEO COMPRIMIDO,2014-09-01,-,2 - GASES
1072,OXIGÉNIO COMPRIMIDO,2014-09-01,-,2 - GASES
1073,OXIGÉNIO LÍQUIDO REFRIGERADO,2014-09-01,-,2 - GASES
1075,GASES DE PETRÓLEO LIQUEFEITOS,2014-09-01,-,2 - GASES
1076,FOSGÉNIO,2014-09-01,-,2 - GASES
1077,PROPILENO,2014-09-01,-,2 - GASES
1078,"GÁS FRIGORÍFICO, N.S.A., COMO A MISTURA F1, A MISTURA F2 OU AMISTURA F3",2014-09-01,-,2 - GASES
1079,DIÓXIDO DE ENXOFRE,2014-09-01,-,2 - GASES
1080,HEXAFLUORETO DE ENXOFRE,2014-09-01,-,2 - GASES
1081,TETRAFLUORETILENO ESTABILIZADO,2014-09-01,-,2 - GASES
1082,TRIFLUORCLOROETILENO ESTABILIZADO,2014-09-01,-,2 - GASES
1083,TRIMETILAMINA ANIDRA,2014-09-01,-,2 - GASES
1085,BROMETO DE VINILO ESTABILIZADO,2014-09-01,-,2 - GASES
1086,CLORETO DE VINILO ESTABILIZADO,2014-09-01,-,2 - GASES
1087,ÉTER METILVINÍLICO ESTABILIZADO,2014-09-01,-,2 - GASES
1088,ACETAL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1089,ACETALDEÍDO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1090,ACETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1091,ÓLEOS DE ACETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1092,ACROLEÍNA ESTABILIZADA,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1093,ACRILONITRILO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1098,ÁLCOOL ALÍLICO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1099,BROMETO DE ALILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1100,CLORETO DE ALILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1104,ACETATOS DE AMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1105,PENTANÓIS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1106,AMILAMINAS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1107,CLORETOS DE AMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1108,PENTENO-1 (N-AMILENO),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1109,FORMIATOS DE AMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1110,N-AMILMETILCETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1111,MERCAPTANO AMÍLICO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1112,NITRATOS DE AMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1113,NITRITOS DE AMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1114,BENZENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1120,BUTANÓIS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1123,ACETATOS DE BUTILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1125,N-BUTILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1126,BROMO-1 BUTANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1127,CLOROBUTANOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1128,FORMIATO DE N-BUTILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1129,BUTIRALDEÍDO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1130,ÓLEO DE CÂNFORA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1131,DISSULFURETO DE CARBONO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1133,ADESIVOS CONTENDO UM LÍQUIDO INFLAMÁVEL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1134,CLOROBENZENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1135,MONOCLORIDRINA DO GLICOL,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1136,"DESTILADOS DE ALCATRÃO DE HULHA, INFLAMÁVEIS",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1139,SOLUÇÃO DE REVESTIMENTO (INCLUINDO OS TRATAMENTOS DE SUPERFÍCIEOU REVESTIMENTOS UTILIZADOS NA ,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1143,ALDEÍDO CROTÓNICO (CROTONALDEÍDO) OU ALDEÍDOCROTÓNICO ESTABILIZADO (CROTONALDEÍDO ,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1144,CROTOANILENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1145,CICLOHEXANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1146,CICLOPENTANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1147,DECAHIDRONAFTALENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1148,DIACETONA-ÁLCOOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1149,ÉTERES BUTÍLICOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1150,"DICLORO-1,2 ETILENO",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1152,DICLOROPENTANOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1153,ÉTER DIETÍLICO DO ETILENOGLICOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1154,DIETILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1155,ÉTER DIETÍLICO (ÉTER ETÍLICO),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1156,DIETILCETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1157,DIISOBUTILCETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1158,DIISOPROPILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1159,ÉTER ISOPROPÍLICO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1160,DIMETILAMINA EM SOLUÇÃO AQUOSA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1161,CARBONATO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1162,DIMETILDICLOROSSILANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1163,DIMETILHIDRAZINA ASSIMÉTRICA,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1164,SULFURETO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1165,DIOXANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1166,DIOXOLANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1167,ÉTER VINÍLICO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1169,EXTRACTOS AROMÁTICOS LÍQUIDOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1170,ETANOL (ÁLCOOL ETÍLICO) OU ETANOL EM SOLUÇÃO(ÁLCOOL ETÍLICO EM SOLUÇÃO),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1171,ÉTER MONOETÍLICO DO ETILENOGLICOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1172,ACETATO DO ÉTER MONOETÍLICO DO ETILENOGLICOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1173,ACETATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1175,ETILBENZENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1176,BORATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1177,ACETATO DE 2-ETILBUTILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1178,ALDEÍDO ETIL-2 BUTÍRICO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1179,ÉTER ETILBUTÍLICO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1180,BUTIRATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1181,CLOROACETATO DE ETILO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1182,CLOROFORMIATO DE ETILO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1183,ETILDICLOROSSILANO,2014-09-01,-,"43 - MATÉRIAS QUE, EM CONTATO COM ÁGUA, LIBERTAM GASES INFLAMÁVEIS"
1184,DICLORETO DE ETILENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1185,ETILENOIMINA ESTABILIZADA,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1188,ÉTER MONOMETÍLICO DO ETILENOGLICOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1189,ACETATO DO ÉTER MONOMETÍLICO DO ETILENOGLICOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1190,FORMIATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1191,ALDEÍDOS OCTÍLICOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1192,LACTATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1193,ETILMETILCETONA (METILETILCETONA),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1194,NITRITO DE ETILO EM SOLUÇÃO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1195,PROPIONATO DE ETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1196,ETILTRICLOROSSILANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1197,EXTRACTOS LÍQUIDOS PARA AROMATIZAR,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1198,FORMALDEÍDO EM SOLUÇÃO INFLAMÁVEL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1199,FURALDEÍDOS,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1201,ÓLEO DE FUSELAGEM,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1202,CARBURANTE DIESEL OU GASÓLEO OU ÓLEO DEAQUECIMENTO LEVE,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1203,GASOLINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1204,NITROGLICERINA EM SOLUÇÃO ALCOÓLICA COM NO MÁXIMO 1%DE NITROGLICERINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1206,HEPTANOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1207,HEXALDEÍDO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1208,HEXANOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1210,"TINTAS DE IMPRESSÃO, INFLAMÁVEIS OU MATÉRIAS APARENTADASÀS TINTAS DE IMPRESSÃO (INCLUINDO ",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1212,ISOBUTANOL (ÁLCOOL ISOBUTÍLICO),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1213,ACETATO DE ISOBUTILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1214,ISOBUTILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1216,ISOOCTENOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1218,ISOPRENO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1219,ISOPROPANOL (ÁLCOOL ISOPROPÍLICO),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1220,ACETATO DE ISOPROPILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1221,ISOPROPILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1222,NITRATO DE ISOPROPILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1223,QUEROSENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1224,"CETONAS LÍQUIDAS, N.S.A.",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1228,"MERCAPTANOS LÍQUIDOS INFLAMÁVEIS, TÓXICOS, N.S.A. OUMERCAPTANOS EM MISTURA LÍQUIDA, INFLAMÁVEL, ",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1229,ÓXIDO DE MESITILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1230,METANOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1231,ACETATO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1233,ACETATO DE METILAMILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1234,METILAL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1235,METILAMINA EM SOLUÇÃO AQUOSA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1237,BUTIRATO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1238,CLOROFORMIATO DE METILO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1239,ÉTER METÍLICO MONOCLORADO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1242,METILDICLOROSSILANO,2014-09-01,-,"43 - MATÉRIAS QUE, EM CONTATO COM ÁGUA, LIBERTAM GASES INFLAMÁVEIS"
1243,FORMIATO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1244,METILHIDRAZINA,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1245,METILISOBUTILCETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1246,METILISOPROPENILCETONA ESTABILIZADA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1247,METACRILATO DE METILO MONÓMERO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1248,PROPIONATO DE METILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1249,METILPROPILCETONA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1250,METILTRICLOROSSILANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1251,"METILVINILCETONA, ESTABILIZADA",2014-09-01,-,61 - MATÉRIAS TÓXICAS
1259,NÍQUEL-TETRACARBONILO,2014-09-01,-,61 - MATÉRIAS TÓXICAS
1261,NITROMETANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1262,OCTANOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1263,"TINTAS (INCLUINDO TINTAS, LACAS, ESMALTES, CORES, SHELLAC, VERNIZES, CERAS,ENCÁUSTICAS, ",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1264,PARALDEÍDO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1265,"PENTANOS, LÍQUIDOS",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1266,PRODUTOS DE PERFUMARIA CONTENDO SOLVENTES INFLAMÁVEIS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1267,PETRÓLEO BRUTO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1268,"DESTILADOS DE PETRÓLEO, N.S.A. OU PRODUTOSPETROLÍFEROS, N.S.A.",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1272,ÓLEO DE PINHO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1274,N-PROPANOL (ÁLCOOL PROPÍLICO NORMAL),2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1275,ALDEÍDO PROPIÓNICO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1276,ACETATO DE N-PROPILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1277,PROPILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1278,CLORO-1 PROPANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1279,"DICLORO-1,2 PROPANO",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1280,ÓXIDO DE PROPILENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1281,FORMIATOS DE PROPILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1282,PIRIDINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1286,ÓLEO DE COLOFÓNIO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1287,DISSOLUÇÃO DE BORRACHA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1288,ÓLEO DE XISTO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1289,METILATO DE SÓDIO EM SOLUÇÃO DE ÁLCOOL,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1292,SILICATO DE TETRAETILO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1293,TINTURAS MEDICINAIS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1294,TOLUENO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1295,TRICLOROSSILANO,2014-09-01,-,"43 - MATÉRIAS QUE, EM CONTATO COM ÁGUA, LIBERTAM GASES INFLAMÁVEIS"
1296,TRIETILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1297,TRIMETILAMINA EM SOLUÇÃO AQUOSA CONTENDO NO MÁXIMO 50%(MASSA) DE TRIMETILAMINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1298,TRIMETILCLOROSSILANO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1299,ESSÊNCIA DE TEREBENTINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1300,SUCEDÂNEO DE ESSÊNCIA DE TEREBENTINA,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1301,ACETATO DE VINILO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1302,ÉTER ETILVINÍLICO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1303,CLORETO DE VINILIDENO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1304,ÉTER ISOBUTILVINÍLICO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1305,VINILTRICLOROSSILANO ESTABILIZADO,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1306,"PRODUTOS DE CONSERVAÇÃO DE MADEIRA, LÍQUIDOS",2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
1307,XILENOS,2014-09-01,-,3 - LÍQUIDOS INFLAMÁVEIS
