12/01/2018 03:42,,
Código,,Descrição
55151,- De fibras descontínuas de poliéster:
55152,- De fibras descontínuas acrílicas ou modacrílicas:
55159,- Outros tecidos:
5516,Tecidos de fibras artificiais descontínuas.
55161,"- Que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas:"
55162,"- Que contenham menos de 85 %, em peso, de fibras artificiais descontínuas, combinadas, principal ou unicamente, com filamentos sintéticos ou artificiais:"
55163,"- Que contenham menos de 85 %, em peso, de fibras artificiais descontínuas, combinadas, principal ou unicamente, com lã ou pelos finos:"
55164,"- Que contenham menos de 85 %, em peso, de fibras artificiais descontínuas, combinadas, principal ou unicamente, com algodão:"
55169,- Outros:
56,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria"
5601,"Pastas (ouates) de matérias têxteis e artigos destas pastas (ouates);fibras têxteis de comprimento não superior a 5 mm (tontisses), nós e bolotas de matérias têxteis."
56012,- PASTAS (OUATES) DE MATéRIAS TêXTEIS E ARTIGOS DESTAS PASTAS(OUATES):
5602,"Feltros, mesmo impregnados, revestidos, recobertos ou estratificados."
56022,"- Outros feltros, não impregnados, nem revestidos, nem recobertos, nem estratificados:"
5603,"Falsos tecidos, mesmo impregnados, revestidos, recobertos ou estratificados."
56031,- De filamentos sintéticos ou artificiais:
56039,- Outros:
5604,"Fios e cordas, de borracha, recobertos de têxteis; fios têxteis, lâminas e formas semelhantes das posições 54.04 ou 54.05, impregnados, revestidos, recobertos ou embainhados de borracha ou de plástico."
5607,"Cordéis, cordas e cabos, entrançados ou não, mesmo impregnados, revestidos, recobertos ou embainhados de borracha ou de plástico."
56072,- De sisal ou de outras fibras têxteis do gênero Agave:
56074,- De polietileno ou de polipropileno:
5608,"Redes de malhas com nós, em panos ou em peça, obtidas a partir de cordéis, cordas ou cabos; redes confeccionadas para a pesca e outras redes confeccionadas, de matérias têxteis."
56081,- De matérias têxteis sintéticas ou artificiais:
57,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis"
5701,"Tapetes de matérias têxteis, de pontos nodados ou enrolados, mesmo confeccionados."
5702,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis, tecidos, não tufados nem flocados, mesmo confeccionados, incluindo os tapetes denominados Kelim ou Kilim, Schumacks ou Soumak, Karamanie e tapetes semelhantes tecidos a mão."
57023,"- Outros, aveludados, não confeccionados:"
57024,"- Outros, aveludados, confeccionados:"
57029,"- Outros, não aveludados, confeccionados:"
5703,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis, tufados, mesmo confeccionados."
5704,"Tapetes e outros revestimentos para pisos (pavimentos), de feltro, exceto os tufados e os flocados, mesmo confeccionados."
58,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados
5801,"Veludos e pelúcias tecidos e tecidos de froco (chenille), exceto os artefatos das posições 58.02 ou 58.06."
58012,- De algodão:
58013,- De fibras sintéticas ou artificiais:
5802,"Tecidos atoalhados, exceto os artefatos da posição 58.06; tecidos tufados, exceto os artefatos da posição 57.03."
58021,"- Tecidos atoalhados, de algodão:"
5804,"Tules, filó e tecidos de malhas com nós; rendas em peça, em tiras ou em motivos, para aplicar, exceto os produtos das posições 60.02 a 60.06."
58042,- Rendas de fabricação mecânica:
5806,"Fitas, exceto os artefatos da posição 58.07; fitas sem trama, de fiosou fibras paralelizados e colados (bolducs)."
58063,- Outras fitas:
5807,"Etiquetas, emblemas e artefatos semelhantes de matérias têxteis, em peça, em fitas ou recortados em forma própria, não bordados."
5808,"Tranças em peça; artigos de passamanaria e artigos ornamentais análogos, em peça, não bordados, exceto de malha; borlas, pompons e artefatos semelhantes."
5810,"Bordados em peça, em tiras ou em motivos."
58109,- Outros bordados:
59,"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis"
5901,"Tecidos revestidos de cola ou de matérias amiláceas, dos tipos utilizados na encadernação, cartonagem ou usos semelhantes; telas para decalque e telas transparentes para desenho; telas preparadas para pintura;entretelas e tecidos rígidos semelhantes, do"
5902,"Telas para pneumáticos fabricadas com fios de alta tenacidade de náilon ou de outras poliamidas, de poliésteres ou de raiom viscose."
5903,"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico, exceto os da posição 59.02."
5904,"Linóleos, mesmo recortados; revestimentos para pisos (pavimentos) constituídos por um induto ou recobrimento aplicado sobre suporte têxtil,mesmo recortados."
5906,"Tecidos com borracha, exceto os da posição 59.02."
59069,- Outros:
5911,"Produtos e artefatos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente Capítulo."
59113,"- Tecidos e feltros, sem fim ou com dispositivos de união, dos tipos utilizados nas máquinas para fabricação de papel ou máquinas semelhantes (para obtenção de pasta de papel ou fibrocimento, por exemplo):"
60,Tecidos de malha
6001,"Veludos e pelúcias (incluindo os tecidos denominados de ""felpa longa""ou ""pelo comprido"" e tecidos atoalhados), de malha."
60012,- Tecidos atoalhados:
60019,- Outros:
6002,"Tecidos de malha de largura não superior a 30 cm, que contenham, em peso, 5 % ou mais de fios de elastômeros ou de fios de borracha, excetoos da posição 60.01."
6003,"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02."
6004,"Tecidos de malha de largura superior a 30 cm, que contenham, em peso,5 % ou mais de fios de elastômeros ou de fios de borracha, exceto os da posição 60.01."
6005,"Tecidos de malha-urdidura (incluindo os fabricados em teares para galões), exceto os das posições 60.01 a 60.04."
60052,- De algodão:
60053,- De fibras sintéticas:
60054,- De fibras artificiais:
6006,Outros tecidos de malha.
60062,- De algodão:
60063,- De fibras sintéticas:
60064,- De fibras artificiais:
61,"Vestuário e seus acessórios, de malha"
6101,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes,de malha, de uso masculino, exceto os artefatos da posição 61.03."
6102,"Mantôs, capas, anoraques, casacos e semelhantes, de malha, de uso feminino, exceto os artefatos da posição 61.04."
6103,"Ternos, conjuntos, paletós, calças, jardineiras, bermudas e shorts (calções) (exceto de banho), de malha, de uso masculino."
61032,- Conjuntos:
61033,- Paletós:
61034,"- Calças, jardineiras, bermudas e shorts (calções):"
6104,"Tailleurs, conjuntos, blazers, vestidos, saias, saias-calças, calças,jardineiras, bermudas e shorts (calções) (exceto de banho), de malha,de uso feminino."
61041,- Tailleurs:
61042,- Conjuntos:
61043,- Blazers:
61044,- Vestidos:
61045,- Saias e saias-calças:
61046,"- Calças, jardineiras, bermudas e shorts (calções):"
6105,"Camisas de malha, de uso masculino."
6106,"Camisas, blusas, blusas chemisiers, de malha, de uso feminino."
6107,"Cuecas, ceroulas, camisolões, pijamas, roupões de banho, robes e semelhantes, de malha, de uso masculino."
61071,- Cuecas e ceroulas:
61072,- Camisolões e pijamas:
61079,- Outros:
6108,"Combinações, anáguas, calcinhas, camisolas, pijamas, déshabillés, roupões de banho, penhoares e semelhantes, de malha, "
,de uso feminino.
61081,- Combinações e anáguas:
61082,- Calcinhas:
61083,- Camisolas e pijamas:
61089,- Outros:
6109,"Camisetas, incluindo as interiores, de malha."
6110,"Suéteres, pulôveres, cardigãs, coletes e artigos semelhantes, de malha."
61101,- De lã ou de pelos finos:
6111,"Vestuário e seus acessórios, de malha, para bebês."
6112,"Abrigos para esporte, macacões e conjuntos de esqui, maiôs, biquinis,shorts (calções) e sungas de banho, de malha."
61121,- Abrigos para esporte:
61123,"- Maiôs, shorts (calções) e sungas de banho, de uso masculino:"
61124,"- Maiôs e biquínis de banho, de uso feminino:"
6114,Outro vestuário de malha.
6115,"Meias-calças, meias acima do joelho, meias até o joelho e artigos semelhantes, incluindo as meias-calças, meias acima do joelho e meias atéo joelho, de compressão degressiva (as meias para varizes, por exemplo), de malha."
61152,- Outras meias-calças:
61159,- Outros:
6116,"Luvas, mitenes e semelhantes, de malha."
61169,- Outras:
6117,"Outros acessórios de vestuário, confeccionados, de malha; partes de vestuário ou de seus acessórios, de malha."
62,"Vestuário e seus acessórios, exceto de malha"
6201,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes,de uso masculino, exceto os artefatos da posição 62.03."
62011,"- Sobretudos, impermeáveis, japonas, gabões, capas e semelhantes:"
62019,- Outros:
6202,"Mantôs, capas, anoraques, casacos e semelhantes, de uso feminino, exceto os artefatos da posição 62.04."
62021,"- Mantôs, impermeáveis, capas e semelhantes:"
62029,- Outros:
6203,"Ternos, conjuntos, paletós, calças, jardineiras, bermudas e shorts (calções) (exceto de banho), de uso masculino."
62031,- Ternos:
62032,- Conjuntos:
62033,- Paletós:
62034,"- Calças, jardineiras, bermudas e shorts (calções):"
6204,"Tailleurs, conjuntos, blazers, vestidos, saias, saias-calças, calças,jardineiras, bermudas e shorts (calções) (exceto de banho), de uso feminino."
62041,- Tailleurs:
62042,- Conjuntos:
62043,- Blazers:
62044,- Vestidos:
62045,- Saias e saias-calças:
62046,"- Calças, jardineiras, bermudas e shorts (calções):"
6205,Camisas de uso masculino.
6206,"Camisas, blusas, blusas chemisiers, de uso feminino."
6207,"Camisetas interiores, cuecas, ceroulas, camisolões, pijamas, roupões de banho, robes e semelhantes, de uso masculino."
62071,- Cuecas e ceroulas:
62072,- Camisolões e pijamas:
62079,- Outros:
6208,"Corpetes, combinações, anáguas, calcinhas, camisolas, pijamas, déshabillés, roupões de banho, penhoares e artefatos semelhantes, de uso feminino."
62081,- Combinações e anáguas:
62082,- Camisolas e pijamas:
62089,- Outros:
6209,"Vestuário e seus acessórios, para bebês."
6210,"Vestuário confeccionado com as matérias das posições 56.02, 56.03, 59.03, 59.06 ou 59.07."
6211,"Abrigos para esporte, macacões e conjuntos de esqui, maiôs, biquinis,shorts (calções) e sungas de banho; outro vestuário."
62111,"- Maiôs, biquinis, shorts (calções) e sungas de banho:"
62113,- Outro vestuário de uso masculino:
62114,- Outro vestuário de uso feminino:
6212,"Sutiãs, cintas, espartilhos, suspensórios, ligas e artefatos semelhantes, e suas partes, mesmo de malha."
6213,Lenços de assoar e de bolso.
6214,"Xales, echarpes, lenços de pescoço, cachenês, cachecóis, mantilhas, véus e artefatos semelhantes."
6215,"Gravatas, gravatas-borboletas e plastrons."
6217,"Outros acessórios confeccionados de vestuário; partes de vestuário oudos seus acessórios, exceto as da posição 62.12."
63,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos"
6301,Cobertores e mantas.
6302,"Roupas de cama, mesa, toucador ou cozinha."
63022,"- Outras roupas de cama, estampadas:"
63023,- Outras roupas de cama:
63025,- Outras roupas de mesa:
63029,- Outras:
6303,"Cortinados, cortinas, reposteiros e estores; sanefas."
63031,- De malha:
63039,- Outros:
6304,"Outros artefatos para guarnição de interiores, exceto da posição 94.04."
63041,- Colchas:
63049,- Outros:
6305,"Sacos de quaisquer dimensões, para embalagem."
63053,- De matérias têxteis sintéticas ou artificiais:
6306,"Encerados e toldos; tendas; velas para embarcações, para pranchas a vela ou para carros a vela; artigos para acampamento."
63061,- Encerados e toldos:
63062,- Tendas:
6307,"Outros artefatos confeccionados, incluindo os moldes para vestuário."
6310,"Trapos, cordéis, cordas e cabos de matérias têxteis, em forma de desperdícios ou de artefatos inutilizados."
64,"Calçados, polainas e artefatos semelhantes; suas partes"
6401,"Calçados impermeáveis de sola exterior e parte superior de borracha ou plásticos, em que a parte superior não tenha sido reunida à sola exterior por costura ou por meio de rebites, pregos, parafusos, espigões ou dispositivos semelhantes, nem formada por"
64019,- Outros calçados:
6402,Outros calçados com sola exterior e parte superior de borracha ou plásticos.
64021,- Calçados para esporte:
64029,- Outros calçados:
6403,"Calçados com sola exterior de borracha, plásticos, couro natural ou reconstituído e parte superior de couro natural."
64031,- Calçados para esporte:
64035,"- Outros calçados, com sola exterior de couro natural:"
64039,- Outros calçados:
6404,"Calçados com sola exterior de borracha, plásticos, couro natural ou reconstituído e parte superior de matérias têxteis."
64041,- Calçados com sola exterior de borracha ou de plásticos:
6405,Outros calçados.
6406,"Partes de calçados (incluindo as partes superiores, mesmo fixadas a solas que não sejam as solas exteriores); palmilhas amovíveis, reforçosinteriores e artefatos semelhantes, amovíveis; polainas, perneiras e artefatos semelhantes, e suas partes."
65,"Chapéus e artefatos de uso semelhante, e suas partes"
6506,"Outros chapéus e artefatos de uso semelhante, mesmo guarnecidos."
65069,- Outros:
66,"Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes"
6601,"Guarda-chuvas, sombrinhas e guarda-sóis (incluindo as bengalas-guarda-chuvas e os guarda-sóis de jardim e semelhantes)."
66019,- Outros:
6603,"Partes, guarnições e acessórios, para os artefatos das posições 66.01ou 66.02."
67,Penas e penugem preparadas e suas obras; flores artificiais; obras decabelo
6702,"Flores, folhagem e frutos, artificiais, e suas partes; artefatos confeccionados com flores, folhagem e frutos, artificiais."
6704,"Perucas, barbas, sobrancelhas, pestanas, madeixas e artefatos semelhantes, de cabelo, pelos ou de matérias têxteis; outras obras de cabelo não especificadas nem compreendidas noutras posições."
67041,- De matérias têxteis sintéticas:
68,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes"
6802,"Pedras de cantaria ou de construção (exceto de ardósia) trabalhadas eobras destas pedras, exceto as da posição 68.01; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluindo a ardósia), mesmo com suporte; grânulos, fragmentos"
68022,"- Outras pedras de cantaria ou de construção e suas obras, simplesmente talhadas ou serradas, de superfície plana ou lisa:"
68029,- Outras:
6804,"Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmi"
68042,- Outras mós e artefatos semelhantes:
6805,"Abrasivos naturais ou artificiais, em pó ou em grãos, aplicados sobrematérias têxteis, papel, cartão ou outras matérias, mesmo recortados,costurados ou reunidos de outro modo."
6806,"Lãs de escórias de altos-fornos, lãs de outras escórias, lã de rocha e lãs minerais semelhantes; vermiculita e argilas, expandidas, espuma de escórias e produtos minerais semelhantes, expandidos; misturas e obras de matérias minerais para isolamento do"
6807,"Obras de asfalto ou de produtos semelhantes (por exemplo, breu ou pez)."
6809,Obras de gesso ou de composições à base de gesso.
68091,"- Chapas, placas, painéis, ladrilhos e semelhantes, não ornamentados:"
6810,"Obras de cimento, de concreto ou de pedra artificial, mesmo armadas."
68101,"- Telhas, ladrilhos, placas (lajes), tijolos e artefatos semelhantes:"
68109,- Outras obras:
6811,"Obras de fibrocimento, cimento-celulose ou produtos semelhantes."
68118,- Que não contenham amianto:
6812,"Amianto trabalhado, em fibras; misturas à base de amianto ou à base de amianto e carbonato de magnésio; obras destas misturas ou de amianto(por exemplo, fios, tecidos, vestuário, chapéus e artefatos de uso semelhante, calçados, juntas), mesmo armadas, e"
68129,- Outros:
6813,"Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combina"
68138,- Que não contenham amianto:
6814,"Mica trabalhada e obras de mica, incluindo a mica aglomerada ou reconstituída, mesmo com suporte de papel, de cartão ou de outras matérias."
6815,"Obras de pedra ou de outras matérias minerais (incluindo as fibras decarbono, as obras destas matérias e as de turfa), não especificadas nem compreendidas noutras posições."
68159,- Outras obras:
69,Produtos cerâmicos
6902,"Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes."
6903,"Outros produtos cerâmicos refratários (por exemplo, retortas, cadinhos, muflas, bocais, tampões, suportes, copelas, tubos, mangas, varetas)que não sejam de farinhas siliciosas fósseis nem de terras siliciosassemelhantes."
6904,"Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica."
6905,"Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para construção."
6907,"LADRILHOS E PLACAS (LAJES), PARA PAVIMENTAçãO OU REVEST"
6908,"Ladrilhos e placas (lajes), para pavimentação ou revestimento, vidrados ou esmaltados, de cerâmica; cubos, pastilhas e artigos semelhantes,para mosaicos, vidrados ou esmaltados, de cerâmica, mesmo com suporte."
6909,"Aparelhos e artefatos para usos químicos ou para outros usos técnicos, de cerâmica; alguidares, gamelas e outros recipientes semelhantes para usos rurais, de cerâmica; bilhas e outras vasilhas próprias para transporte ou embalagem, de cerâmica."
69091,- Aparelhos e artefatos para usos químicos ou para outros usos técnicos:
6910,"Pias, lavatórios, colunas para lavatórios, banheiras, bidés, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica."
6911,"Louça, outros artigos de uso doméstico e artigos de higiene ou de toucador, de porcelana."
6913,"Estatuetas e outros objetos de ornamentação, de cerâmica."
6914,Outras obras de cerâmica.
70,Vidro e suas obras
7002,"Vidro em esferas (exceto as microsferas da posição 70.18), barras, varetas ou tubos, não trabalhado."
70023,- Tubos:
7003,"Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas não trabalhado de outro modo."
70031,"- Chapas e folhas, não armadas:"
7004,"Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas não trabalhado de outro modo."
7005,"Vidro flotado e vidro desbastado ou polido numa ou em ambas as faces,em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas não trabalhado de outro modo."
70052,- Outro vidro não armado:
7007,Vidros de segurança consistindo em vidros temperados ou formados por folhas contracoladas.
70071,- Vidros temperados:
70072,- Vidros formados por folhas contracoladas:
7009,"Espelhos de vidro, mesmo emoldurados, incluindo os espelhos retrovisores."
70099,- Outros:
7010,"Garrafões, garrafas, frascos, boiões, vasos, embalagens tubulares, ampolas e outros recipientes de vidro próprios para transporte ou embalagem; boiões de vidro para conservas; rolhas, tampas e outros dispositivos de uso semelhante, de vidro."
7011,"Ampolas e invólucros, mesmo tubulares, abertos, e suas partes, de vidro, sem guarnições, para lâmpadas elétricas, tubos catódicos ou semelhantes."
7013,"Objetos de vidro para serviço de mesa, cozinha, toucador, escritório,ornamentação de interiores ou usos semelhantes (exceto os das posições 70.10 ou 70.18)."
70132,"- Copos com pé, exceto de vitrocerâmica:"
70133,"- Outros copos, exceto de vitrocerâmica:"
70134,"- Objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica:"
70139,- Outros objetos:
7015,"Vidros de relojoaria e vidros semelhantes, vidros para lentes, mesmo corretivas, curvos ou arqueados, ocos ou semelhantes, não trabalhados opticamente; esferas ocas e segmentos de esferas, de vidro, para fabricação desses vidros."
7016,"Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para construção; cubos, pastilhas e outros artigos semelhantes, de vidro, mesmo com suporte, para mosaicos ou decorações semelhantes; vitrais de v"
7017,"Artefatos de vidro para laboratório, higiene e farmácia, mesmo graduados ou calibrados."
7018,"Contas, imitações de pérolas naturais ou cultivadas, imitações de pedras preciosas ou semipreciosas e artefatos semelhantes, de vidro e suas obras, exceto bijuterias; olhos de vidro, exceto de prótese; estatuetas e outros objetos de "
,"ornamentação, de vid"
7019,"Fibras de vidro (incluindo a lã de vidro) e suas obras (por exemplo, fios, tecidos)."
70191,"- Mechas, mesmo ligeiramente torcidas (rovings) e fios, cortados ou não:"
70193,"- Véus, mantas, esteiras (mats), colchões, painéis e produtos semelhantes, não tecidos:"
70195,- Outros tecidos:
71,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas"
7101,"Pérolas naturais ou cultivadas, mesmo trabalhadas ou combinadas, mas não enfiadas, nem montadas, nem engastadas; pérolas naturais ou cultivadas, enfiadas temporariamente para facilidade de transporte."
71012,- Pérolas cultivadas:
7102,"Diamantes, mesmo trabalhados, mas não montados nem engastados."
71022,- Industriais:
71023,- Não industriais:
7103,"Pedras preciosas (exceto diamantes) ou semipreciosas, mesmo trabalhadas ou combinadas, mas não enfiadas, nem montadas, nem engastadas; pedras preciosas (exceto diamantes) ou semipreciosas, não combinadas, enfiadas temporariamente para facilidade de tran"
71039,- Trabalhadas de outro modo:
7104,"Pedras sintéticas ou reconstituídas, mesmo trabalhadas ou combinadas,mas não enfiadas, nem montadas, nem engastadas; pedras sintéticas ou reconstituídas, não combinadas, enfiadas temporariamente para facilidade de transporte."
7105,"Pó de diamantes, de pedras preciosas ou semipreciosas ou de pedras sintéticas."
7106,"Prata (incluindo a prata dourada ou platinada), em formas brutas ou semimanufaturadas, ou em pó."
71069,- Outras:
7108,"Ouro (incluindo o ouro platinado), em formas brutas ou semimanufaturadas, ou em pó."
71081,- Para usos não monetários:
7110,"Platina, em formas brutas ou semimanufaturadas, ou em pó."
71101,- Platina:
71102,- Paládio:
71103,- Ródio:
71104,"- Irídio, ósmio e rutênio:"
7112,"Desperdícios e resíduos de metais preciosos ou de metais folheados ouchapeados de metais preciosos (plaquê); outros desperdícios e resíduos que contenham metais preciosos ou compostos de metais preciosos, do tipo dos utilizados principalmente para a rec"
71129,- Outros:
7113,"Artefatos de joalheria e suas partes, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquê)."
71131,"- De metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquê):"
7114,"Artefatos de ourivesaria e suas partes, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquê)."
71141,"- De metais preciosos, mesmo revestidos, folheados ou chapeados de metais preciosos (plaquê):"
7115,Outras obras de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquê).
7116,"Obras de pérolas naturais ou cultivadas, de pedras preciosas ou semipreciosas ou de pedras sintéticas ou reconstituídas."
7117,Bijuterias.
71171,"- De metais comuns, mesmo prateados, dourados ou platinados:"
7118,Moedas.
72,"Ferro fundido, ferro e aço"
7201,"Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias."
7202,Ferro-ligas.
72021,- Ferro-manganês:
72022,- Ferro-silício:
72024,- Ferro-cromo:
72029,- Outras:
7203,"Produtos ferrosos obtidos por redução direta dos minérios de ferro e outros produtos ferrosos esponjosos, em pedaços, esferas ou formas semelhantes; ferro de pureza mínima, em peso, de 99,94 %, em pedaços, esferas ou formas semelhantes."
7204,"Desperdícios e resíduos de ferro fundido, ferro ou aço; desperdícios de ferro ou aço, em lingotes."
72042,- Desperdícios e resíduos de ligas de aço:
72044,- Outros desperdícios e resíduos:
7205,"GRANALHAS E PóS  DE FERRO FUNDIDO BRUTO, DE FERRO SPIEGEL (ESPECULAR),DE FERRO OU AçO."
72052,- Pós:
7206,"Ferro e aço não ligado, em lingotes ou outras formas primárias, exceto o ferro da posição 72.03."
7207,Produtos semimanufaturados de ferro ou aço não ligado.
72071,"- Que contenham, em peso, menos de 0,25 % de carbono:"
7208,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, laminados a quente, não folheados ou chapeados, nem revestidos."
72082,"- Outros, em rolos, simplesmente laminados a quente, decapados:"
72083,"- Outros, em rolos, simplesmente laminados a quente:"
72085,"- Outros, não enrolados, simplesmente laminados a quente:"
7209,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, laminados a frio, não folheados ou chapeados,nem revestidos."
72091,- Em rolos simplesmente laminados a frio:
72092,"- Não enrolados, simplesmente laminados a frio:"
7210,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, ou revestidos."
72101,- Estanhados:
72104,- Galvanizados por outro processo:
72106,- Revestidos de alumínio:
7211,"Produtos laminados planos, de ferro ou aço não ligado, de largura inferior a 600 mm, não folheados ou chapeados, nem revestidos."
72111,- Simplesmente laminados a quente:
72112,- Simplesmente laminados a frio:
7212,"Produtos laminados planos, de ferro ou aço não ligado, de largura inferior a 600 mm, folheados ou chapeados, ou revestidos."
7213,Fio-máquina de ferro ou aço não ligado.
72139,- Outros:
7214,"Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluindo as que tenham sido submetidas a torção após laminagem."
72149,- Outras:
7215,Outras barras de ferro ou aço não ligado.
7216,Perfis de ferro ou aço não ligado.
72162,"- Perfis em L ou T, simplesmente laminados, estirados ou extrudados, a quente, de altura inferior a 80 mm:"
72163,"- Perfis em U, I ou H, simplesmente laminados, estirados ou extrudados, a quente, de altura igual ou superior a 80 mm:"
72166,- Perfis simplesmente obtidos ou completamente acabados a frio:
72169,- Outros:
7217,Fios de ferro ou aço não ligado.
7218,Aço inoxidável em lingotes ou outras formas primárias; produtos semimanufaturados de aço inoxidável.
72189,- Outros:
7219,"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm."
72191,"- Simplesmente laminados a quente, em rolos:"
72192,"- Simplesmente laminados a quente, não enrolados:"
72193,- Simplesmente laminados a frio:
7220,"Produtos laminados planos de aço inoxidável, de largura inferior a 600 mm."
72201,- Simplesmente laminados a quente:
7222,"Barras e perfis, de aço inoxidável."
72221,"- Barras simplesmente laminadas, estiradas ou extrudadas, a quente:"
7224,"Outras ligas de aço, em lingotes ou outras formas primárias; produtossemimanufaturados, de outras ligas de aço."
7225,"Produtos laminados planos, de outras ligas de aço, de largura igual ou superior a 600 mm."
72251,"- De aços ao silício, denominados ""magnéticos"":"
72259,- Outros:
7226,"Produtos laminados planos, de outras ligas de aço, de largura inferior a 600 mm."
72261,"- De aços ao silício, denominados ""magnéticos"":"
72269,- Outros:
7227,Fio-máquina de outras ligas de aço.
7228,"Barras e perfis, de outras ligas de aço; barras ocas para perfuração,de ligas de aço ou de aço não ligado."
7229,Fios de outras ligas de aço.
73,"Obras de ferro fundido, ferro ou aço"
7301,"Estacas-pranchas de ferro ou aço, mesmo perfuradas ou feitas com elementos montados; perfis obtidos por soldadura, de ferro ou aço."
7302,"Elementos de vias férreas, de ferro fundido, ferro ou aço: trilhos, contratrilhos e cremalheiras, agulhas, cróssimas, alavancas para comando de agulhas e outros elementos de cruzamentos e desvios, dormentes, talas de junção, coxins de trilho, cantoneira"
7304,"Tubos e perfis ocos, sem costura, de ferro ou aço."
73041,- Tubos dos tipos utilizados em oleodutos ou gasodutos:
73042,"- Tubos para revestimento de poços, de produção ou suprimento, e hastes de perfuração, dos tipos utilizados na extração de petróleo ou de gás:"
73043,"- Outros, de seção circular, de ferro ou aço não ligado:"
73044,"- Outros, de seção circular, de aço inoxidável:"
73045,"- Outros, de seção circular, de outras ligas de aço:"
7305,"Outros tubos (por exemplo, soldados ou rebitados), de seção circular,de diâmetro exterior superior a 406,4 mm, de ferro ou aço."
73051,- Tubos dos tipos utilizados em oleodutos ou gasodutos:
73053,"- Outros, soldados:"
7306,"Outros tubos e perfis ocos (por exemplo, soldados, rebitados, agrafados ou com os bordos simplesmente aproximados), de ferro ou aço."
73061,- Tubos dos tipos utilizados em oleodutos ou gasodutos:
73062,"- Tubos para revestimento de poços, de produção ou suprimento, dos tipos utilizados na extração de petróleo ou de gás:"
73066,"- Outros, soldados, de seção não circular:"
7307,"Acessórios para tubos (por exemplo, uniões, cotovelos, luvas), de ferro fundido, ferro ou aço."
73071,- Moldados:
73072,"- Outros, de aço inoxidável:"
73079,- Outros:
7308,"Construções e suas partes (por exemplo, pontes e elementos de pontes,comportas, torres, pórticos, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras,portas de correr, balaustradas), de ferro fun"
